task_code,category,task_name,base_frequency,months_hot_humid,months_cold_snow,months_mixed,months_arid_mountain,seasonal_tag,how_to,why_it_matters,est_minutes,materials,safety_note,applies_if_freeze,applies_if_hurricane,applies_if_wildfire,applies_if_hard_water,applies_if_has_sprinklers,pro_service_recommended,diy_ok
HVAC_FILTER,HVAC,Replace HVAC/AC filter,every_2_months,"2,4,6,8,10,12","1,3,5,7,9,11","2,5,8,11","2,5,8,11",,Turn off system. Open return grille or air handler. Slide old filter out. Insert new one (arrow points toward airflow).,"If allergies, pets, or construction dust, replace monthly.",10,"New filter (size on old filter), gloves",Power off before accessing equipment.,0,0,0,0,0,0,0
HVAC_TUNEUP_COOL,HVAC,Schedule HVAC tune‑up (cooling),seasonal,4,4,4,4,pre_summer,"Licensed tech checks refrigerant, coils, electrical, and safety; change filter afterward.",Do this before heat waves to avoid breakdowns.,30,,Choose licensed/insured contractor.,0,0,0,0,0,1,0
HVAC_TUNEUP_HEAT,HVAC,Schedule furnace/heat tune‑up,seasonal,10,9,10,9,pre_winter,"Licensed tech cleans burners, checks heat exchanger and safety sensors.",Prevents CO risk and improves efficiency.,30,,Install CO detector near sleeping areas.,1,0,0,0,0,1,0
AC_COILS_CLEAN,HVAC,Clean outdoor AC condenser coils,annual,4,5,5,4,,Shut power off. Gently hose debris from fins; keep shrubs 2 ft away.,Do not bend fins; use garden hose only.,20,"Garden hose, coil brush (optional)",Ensure power is OFF at disconnect.,0,0,0,0,0,0,1
CONDENSATE_DRAIN_FLUSH,HVAC,Flush AC condensate drain,annual,5,5,5,5,,Pour 1 cup white vinegar into condensate drain access to prevent clogs.,Helps avoid water leaks during summer.,10,"White vinegar, small funnel",Do not mix with bleach if lines/pump specify otherwise.,0,0,0,0,0,0,1
WATER_HEATER_FLUSH,Plumbing,Flush water heater,annual,10,10,10,10,,Turn off heater (gas to pilot / power off). Connect garden hose to drain valve. Open valve until water runs clear.,Sediment removal extends life and efficiency.,45,"Garden hose, bucket, gloves",Water is HOT—allow to cool if needed.,0,0,0,0,0,0,1
TPR_VALVE_TEST,Plumbing,Test water heater T&P relief valve,annual,10,10,10,10,,Lift test lever briefly to ensure water flows; release to reseat.,Ensures valve will relieve pressure safely.,5,Towel/bucket,May drip; stand clear of hot water.,0,0,0,0,0,0,1
LEAK_CHECK,Plumbing,"Check for leaks (sinks, toilets)",quarterly,,,,,,"Look for drips under sinks, around toilets; listen for running toilets.",Fix small leaks early to avoid damage.,10,"Flashlight, paper towel",,0,0,0,0,0,0,0
OUTDOOR_SPIGOT_WINTERIZE,Plumbing,Winterize outdoor spigots,seasonal,11,10,10,10,pre_freeze,Disconnect hoses; install faucet covers; shut interior valve if available.,Prevents frozen pipes and bursts.,15,"Faucet covers, hose gaskets",Close interior shutoff if present.,1,0,0,0,0,0,0
MAIN_SHUTOFF_TEST,Plumbing,Test main water shutoff valve,annual,3,3,3,3,,Locate main valve; turn off briefly to ensure it works; turn back on and check fixtures.,"In emergencies, a working valve prevents damage.",10,Adjustable wrench (if needed),,0,0,0,0,0,0,0
